"family","host_type","longev_max","aq_hab","path_search_results","production_type","max_size_mm","invasive","fam_soc_score"
"portunidae","Brachyuran crab",3.4,"marine",1,"neither",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",2,"marine",1,"neither",77,"not invasive","solitary"
"penaeidae","Shrimp",1.3,"marine",4,"capture",22,"not invasive","gregarious"
"astacidae","Lobster/Crayfish",10,"fw",83,"both",NA,"invasive","ontogenetic_gregarious"
"astacidae","Lobster/Crayfish",17.9,"fw",72,"capture",120,"not invasive","ontogenetic_gregarious"
"astacidae","Lobster/Crayfish",12,"fw",11,"neither",NA,"not invasive","ontogenetic_gregarious"
"portunidae","Brachyuran crab",4,"marine",1,"neither",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",4.6,"euryhaline",3,"capture",NA,"invasive","solitary"
"portunidae","Brachyuran crab",5.8,"euryhaline",2,"neither",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",8,"euryhaline",179,"both",NA,"invasive","solitary"
"cancridae","Brachyuran crab",8,"euryhaline",14,"capture",NA,"invasive","solitary"
"cancridae","Brachyuran crab",15,"marine",57,"capture",NA,"not invasive","repro_aggregate"
"cancridae","Brachyuran crab",5,"marine",4,"capture",NA,"not invasive","repro_aggregate"
"portunidae","Brachyuran crab",3,"marine",38,"both",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",6,"marine",160,"both",NA,"invasive","solitary"
"galatheidae","Anomuran crab",13,"marine",2,"capture",NA,"not invasive","gregarious"
"portunidae","Brachyuran crab",1.58,"marine",0.5,"neither",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",3.5,"marine",7,"neither",NA,"invasive","solitary"
"portunidae","Brachyuran crab",3,"marine",1,"neither",NA,"invasive","solitary"
"portunidae","Brachyuran crab",4,"marine",13,"neither",NA,"invasive","repro_aggregate"
"parastacidae","Lobster/Crayfish",3,"fw",17,"aquaculture",NA,"invasive","ontogenetic_gregarious"
"parastacidae","Lobster/Crayfish",3.5,"fw",93,"both",NA,"not invasive","gregarious"
"majidae","Brachyuran crab",12,"marine",21,"capture",NA,"not invasive","repro_aggregate"
"majidae","Brachyuran crab",7.7,"euryhaline",30,"capture",160,"invasive","repro_aggregate"
"crangonidae","Shrimp",2,"marine",21,"capture",NA,"invasive","gregarious"
"crangonidae","Shrimp",1.5,"marine",2,"neither",NA,"not invasive","gregarious"
"grapsidae","Brachyuran crab",5,"euryhaline",232,"both",NA,"invasive","solitary"
"calappidae","Brachyuran crab",2.4,"marine",0.5,"neither",83,"not invasive","solitary"
"nephropidae","Lobster/Crayfish",50,"marine",215,"capture",NA,"invasive","solitary"
"nephropidae","Lobster/Crayfish",72,"marine",39,"capture",NA,"not invasive","solitary"
"oregoniidae","Brachyuran crab",2,"marine",1,"neither",NA,"not invasive","repro_aggregate"
"lithodidae","Anomuran crab",14,"marine",11,"capture",NA,"not invasive","ontogenetic_gregarious"
"palaemonidae","Shrimp",4,"euryhaline",13,"neither",NA,"not invasive","repro_aggregate"
"palaemonidae","Shrimp",3.3,"euryhaline",49,"both",80,"invasive","gregarious"
"xanthidae","Brachyuran crab",8,"marine",6,"capture",NA,"not invasive","solitary"
"cancridae","Brachyuran crab",8,"marine",31,"capture",NA,"not invasive","repro_aggregate"
"nephropidae","Lobster/Crayfish",15,"marine",1,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",2,"marine",0.5,"neither",NA,"not invasive","repro_aggregate"
"penaeidae","Shrimp",1.4,"euryhaline",1,"neither",65,"invasive","gregarious"
"penaeidae","Shrimp",1.8,"euryhaline",2,"neither",NA,"not invasive","ontogenetic_gregarious"
"penaeidae","Shrimp",2,"marine",10,"aquaculture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",3,"marine",4,"both",NA,"invasive","gregarious"
"galatheidae","Anomuran crab",5,"marine",1,"capture",NA,"not invasive","gregarious"
"portunidae","Brachyuran crab",5.6,"marine",7,"capture",NA,"invasive","solitary"
"callianassidae","Lobster/Crayfish",10,"marine",4,"neither",NA,"not invasive","gregarious"
"nephropidae","Lobster/Crayfish",15,"marine",58,"capture",NA,"not invasive","solitary"
"cambaridae","Lobster/Crayfish",2.52,"fw",1,"neither",NA,"invasive","solitary"
"cambaridae","Lobster/Crayfish",4,"fw",20,"neither",NA,"invasive","solitary"
"cambaridae","Lobster/Crayfish",2,"fw",3,"neither",NA,"not invasive","solitary"
"cambaridae","Lobster/Crayfish",3,"fw",3,"neither",NA,"invasive","solitary"
"cambaridae","Lobster/Crayfish",1.5,"fw",7,"neither",NA,"invasive","ontogenetic_gregarious"
"grapsidae","Brachyuran crab",4,"marine",15,"neither",NA,"not invasive","gregarious"
"astacidae","Lobster/Crayfish",16.7,"euryhaline",82,"both",NA,"invasive","ontogenetic_gregarious"
"palaemonidae","Shrimp",3.07,"marine",5,"both",NA,"invasive","gregarious"
"palaemonidae","Shrimp",2,"euryhaline",3,"neither",NA,"invasive","solitary"
"palaemonidae","Shrimp",1.2,"marine",2,"neither",NA,"not invasive","gregarious"
"palaemonidae","Shrimp",1,"euryhaline",6,"neither",NA,"not invasive","gregarious"
"pandalidae","Shrimp",11,"euryhaline",26,"capture",NA,"not invasive","gregarious"
"pandalidae","Shrimp",7,"marine",1,"capture",216,"not invasive","gregarious"
"pandalidae","Shrimp",4,"marine",2,"capture",NA,"not invasive","gregarious"
"palinuridae","Lobster/Crayfish",30,"marine",57,"both",NA,"not invasive","gregarious"
"lithodidae","Anomuran crab",23,"marine",24,"capture",NA,"invasive","gregarious"
"lithodidae","Anomuran crab",21,"marine",10,"capture",230,"not invasive","gregarious"
"parastacidae","Lobster/Crayfish",5.5,"fw",2,"neither",NA,"not invasive","solitary"
"penaeidae","Shrimp",2,"marine",5,"neither",NA,"not invasive","ontogenetic_gregarious"
"penaeidae","Shrimp",9,"marine",13,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",2.25,"marine",25,"capture",NA,"invasive","gregarious"
"penaeidae","Shrimp",2,"marine",10,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1.64,"marine",23,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1,"euryhaline",100,"both",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1.5,"marine",113,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",2.6,"marine",5,"both",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1.25,"marine",6,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1,"marine",0.5,"neither",NA,"not invasive","gregarious"
"penaeidae","Shrimp",2,"euryhaline",47,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",2,"marine",861,"both",NA,"not invasive","repro_aggregate"
"penaeidae","Shrimp",0.96,"marine",4,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",2,"marine",27,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",1.33,"euryhaline",28,"both",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1.7,"euryhaline",73,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",2.2,"marine",3,"capture",NA,"invasive","gregarious"
"penaeidae","Shrimp",1,"euryhaline",1274,"both",NA,"invasive","gregarious"
"solenoceridae","Shrimp",2.15,"marine",5,"capture",NA,"not invasive","gregarious"
"galatheidae","Anomuran crab",5,"marine",3,"capture",NA,"not invasive","gregarious"
"astacidae","Lobster/Crayfish",7.4,"euryhaline",56,"both",NA,"not invasive","ontogenetic_gregarious"
"portunidae","Brachyuran crab",3,"marine",49,"both",NA,"invasive","solitary"
"portunidae","Brachyuran crab",4,"marine",118,"both",NA,"not invasive","solitary"
"cambaridae","Lobster/Crayfish",3,"fw",0.5,"neither",NA,"not invasive","solitary"
"cambaridae","Lobster/Crayfish",6.5,"euryhaline",119,"both",NA,"invasive","ontogenetic_gregarious"
"cambaridae","Lobster/Crayfish",4.4,"fw",6,"neither",NA,"invasive","solitary"
"portunidae","Brachyuran crab",3.9,"euryhaline",4,"aquaculture",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",4,"euryhaline",102,"both",NA,"not invasive","solitary"
"solenoceridae","Shrimp",2.5,"marine",1,"neither",114,"not invasive","gregarious"
"ocypodidae","Brachyuran crab",17.6,"marine",23,"neither",NA,"not invasive","solitary"
"upogebiidae","Lobster/Crayfish",4,"euryhaline",5,"neither",NA,"not invasive","solitary"
"penaeidae","Shrimp",2.12,"euryhaline",2,"capture",NA,"not invasive","gregarious"
