"path_abbr","host_genus","host_species","host_genus_species","in_wild","ref"
"car_car","Achelous","spinimanus","Achelous_spinimanus","","13"
"car_car","Arenaeus","cribrarius","Arenaeus_cribrarius","wild","13"
"agg_sp","Artemesia","longinaris","Artemesia_longinaris","wild","11"
"asc_mar","Artemesia","longinaris","Artemesia_longinaris","wild","18"
"ihhn","Artemesia","longinaris","Artemesia_longinaris","wild","175"
"ope_fel","Artemesia","longinaris","Artemesia_longinaris","wild","12"
"wssv","Artemesia","longinaris","Artemesia_longinaris","wild","175"
"aph_ast","Astacopsis","gouldi","Astacopsis_gouldi","lab","256"
"aabv","Astacus","astacus","Astacus_astacus","","76"
"aph_ast","Astacus","astacus","Astacus_astacus","wild","2, 52"
"ast_cir","Astacus","astacus","Astacus_astacus","","442"
"bra_hex","Astacus","astacus","Astacus_astacus","wild","385"
"fil_ana","Astacus","astacus","Astacus_astacus","","442"
"ipnv","Astacus","astacus","Astacus_astacus","lab","86"
"pso_hae","Astacus","astacus","Astacus_astacus","wild","106"
"ram_ast","Astacus","astacus","Astacus_astacus","wild","298"
"sap_par","Astacus","astacus","Astacus_astacus","wild","298"
"the_con","Astacus","astacus","Astacus_astacus","wild","2, 219, 231"
"tri_bei","Astacus","astacus","Astacus_astacus","","227"
"wssv","Astacus","astacus","Astacus_astacus","lab","228"
"apbv","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","442"
"aph_ast","Austropotamobius","pallipes","Austropotamobius_pallipes","lab","256"
"bra_ast","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","335"
"bra_hex","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","430"
"cit_fre","Austropotamobius","pallipes","Austropotamobius_pallipes","","442"
"epi_sp","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","297"
"fus_oxy","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","298"
"pso_hae","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","297"
"the_con","Austropotamobius","pallipes","Austropotamobius_pallipes","wild","231"
"wssv","Austropotamobius","pallipes","Austropotamobius_pallipes","lab","441"
"aph_ast","Austropotamobius","torrentium","Austropotamobius_torrentium","lab","256"
"bra_hex","Austropotamobius","torrentium","Austropotamobius_torrentium","","235"
"pso_hae","Austropotamobius","torrentium","Austropotamobius_torrentium","wild","443"
"wssv","Callinectes","arcuatus","Callinectes_arcuatus","wild","444"
"car_car","Callinectes","danae","Callinectes_danae","","13"
"lox_tex","Callinectes","danae","Callinectes_danae","","11"
"wssv","Callinectes","danae","Callinectes_danae","","15"
"car_car","Callinectes","ornatus","Callinectes_ornatus","wild","445"
"lox_tex","Callinectes","ornatus","Callinectes_ornatus","lab","446"
"ame_mic","Callinectes","sapidus","Callinectes_sapidus","","22"
"bac_a","Callinectes","sapidus","Callinectes_sapidus","","19"
"bac_b","Callinectes","sapidus","Callinectes_sapidus","","16"
"bfv","Callinectes","sapidus","Callinectes_sapidus","","447"
"cal_viv","Callinectes","sapidus","Callinectes_sapidus","","447"
"car_car","Callinectes","sapidus","Callinectes_sapidus","","16"
"cbv","Callinectes","sapidus","Callinectes_sapidus","","447"
"csrv1","Callinectes","sapidus","Callinectes_sapidus","wild",""
"hem_per","Callinectes","sapidus","Callinectes_sapidus","wild","1, 2, 22"
"hys_rel","Callinectes","sapidus","Callinectes_sapidus","","447"
"lagen_cal","Callinectes","sapidus","Callinectes_sapidus","wild","130"
"lep_mar","Callinectes","sapidus","Callinectes_sapidus","","447"
"lev_cap","Callinectes","sapidus","Callinectes_sapidus","","447"
"lox_tex","Callinectes","sapidus","Callinectes_sapidus","wild","1, 221"
"meg_dio","Callinectes","sapidus","Callinectes_sapidus","","447"
"mic_bas","Callinectes","sapidus","Callinectes_sapidus","","447"
"mic_nic","Callinectes","sapidus","Callinectes_sapidus","","447"
"myz_lug","Callinectes","sapidus","Callinectes_sapidus","","447"
"nos_sap","Callinectes","sapidus","Callinectes_sapidus","","447"
"par_per","Callinectes","sapidus","Callinectes_sapidus","wild","1, 2, 23"
"proch_sp","Callinectes","sapidus","Callinectes_sapidus","","447"
"rhva","Callinectes","sapidus","Callinectes_sapidus","wild","16"
"rhvb","Callinectes","sapidus","Callinectes_sapidus","","447"
"ric_lik","Callinectes","sapidus","Callinectes_sapidus","","447"
"the_sp","Callinectes","sapidus","Callinectes_sapidus","","447"
"vib_sp","Callinectes","sapidus","Callinectes_sapidus","wild","2, 18"
"wssv","Callinectes","sapidus","Callinectes_sapidus","","17"
"yhv","Callinectes","sapidus","Callinectes_sapidus","","21"
"aer_vir","Cancer","irroratus","Cancer_irroratus","","25"
"chl_sp","Cancer","irroratus","Cancer_irroratus","","23"
"cho_can","Cancer","irroratus","Cancer_irroratus","","23"
"hem_sp","Cancer","irroratus","Cancer_irroratus","wild","1, 24"
"nec_agi","Cancer","irroratus","Cancer_irroratus","wild","127"
"par_per","Cancer","irroratus","Cancer_irroratus","","23"
"pro_maj","Cancer","irroratus","Cancer_irroratus","wild","168"
"vib_sp","Cancer","irroratus","Cancer_irroratus","","23"
"ame_atl","Cancer","pagurus","Cancer_pagurus","wild","453"
"cer_ema","Cancer","pagurus","Cancer_pagurus","wild","23"
"cpbv","Cancer","pagurus","Cancer_pagurus","wild","1, 4, 23"
"cpsbv","Cancer","pagurus","Cancer_pagurus","wild","23"
"ech_sp","Cancer","pagurus","Cancer_pagurus","wild","23"
"ent_can","Cancer","pagurus","Cancer_pagurus","wild","4, 452"
"eut_ruf","Cancer","pagurus","Cancer_pagurus","wild","23"
"fec_ery","Cancer","pagurus","Cancer_pagurus","wild","1, 4, 452"
"hap_sp","Cancer","pagurus","Cancer_pagurus","wild","4, 452"
"hem_sp","Cancer","pagurus","Cancer_pagurus","wild","2, 4, 452"
"hep_eri","Cancer","pagurus","Cancer_pagurus","wild","448"
"lev_car","Cancer","pagurus","Cancer_pagurus","wild","59"
"mar_sub","Cancer","pagurus","Cancer_pagurus","","58"
"mic_pri","Cancer","pagurus","Cancer_pagurus","wild","4, 452"
"mic_sim","Cancer","pagurus","Cancer_pagurus","wild","23"
"oph_sp","Cancer","pagurus","Cancer_pagurus","","451"
"par_can","Cancer","pagurus","Cancer_pagurus","wild","4, 452"
"para_can","Cancer","pagurus","Cancer_pagurus","","450"
"sac_inf","Cancer","pagurus","Cancer_pagurus","wild","1, 4, 452"
"spe_exc","Cancer","pagurus","Cancer_pagurus","wild","23"
"tetr_sp","Cancer","pagurus","Cancer_pagurus","wild","23"
"vib_sp","Cancer","pagurus","Cancer_pagurus","wild","449"
"wssv","Cancer","pagurus","Cancer_pagurus","lab","17"
"nad_can","Cancer","productus","Cancer_productus","wild","454"
"pac_ret","Cancer","productus","Cancer_productus","wild","455"
"nem_por","Carcinus","aestuarii","Carcinus_aestuarii","","42"
"syn_hyp","Carcinus","aestuarii","Carcinus_aestuarii","","42"
"abe_por","Carcinus","maenas","Carcinus_maenas","","32, 34, 35, 36, 37"
"agg_ebe","Carcinus","maenas","Carcinus_maenas","","53"
"ame_pul","Carcinus","maenas","Carcinus_maenas","","42"
"ano_mag","Carcinus","maenas","Carcinus_maenas","","50"
"asc_mor","Carcinus","maenas","Carcinus_maenas","","67"
"cal_ven","Carcinus","maenas","Carcinus_maenas","","65"
"car_car","Carcinus","maenas","Carcinus_maenas","","66"
"cer_ema","Carcinus","maenas","Carcinus_maenas","","56"
"cmbv","Carcinus","maenas","Carcinus_maenas","","31, 32, 33"
"dis_sp","Carcinus","maenas","Carcinus_maenas","","57"
"eno_com","Carcinus","maenas","Carcinus_maenas","","67"
"eut_ruf","Carcinus","maenas","Carcinus_maenas","","66"
"fec_ery","Carcinus","maenas","Carcinus_maenas","wild","1, 54, 55"
"fil_sp","Carcinus","maenas","Carcinus_maenas","","57"
"hap_lit","Carcinus","maenas","Carcinus_maenas","","43, 44"
"hem_per","Carcinus","maenas","Carcinus_maenas","wild","1, 33, 46, 47, 48"
"ipnv","Carcinus","maenas","Carcinus_maenas","wild","86"
"lev_car","Carcinus","maenas","Carcinus_maenas","wild","59"
"mar_por","Carcinus","maenas","Carcinus_maenas","","61"
"mar_sub","Carcinus","maenas","Carcinus_maenas","","58"
"meg_car","Carcinus","maenas","Carcinus_maenas","","60"
"mic_bit","Carcinus","maenas","Carcinus_maenas","","62"
"mic_pri","Carcinus","maenas","Carcinus_maenas","","60"
"mic_sim","Carcinus","maenas","Carcinus_maenas","","60, 64"
"mon_dis","Carcinus","maenas","Carcinus_maenas","",""
"nem_por","Carcinus","maenas","Carcinus_maenas","","42"
"nos_spe","Carcinus","maenas","Carcinus_maenas","","42"
"par_car","Carcinus","maenas","Carcinus_maenas","wild","45"
"por_mae","Carcinus","maenas","Carcinus_maenas","","71"
"pri_fra","Carcinus","maenas","Carcinus_maenas","","72, 73"
"pro_bot","Carcinus","maenas","Carcinus_maenas","","68"
"pro_obt","Carcinus","maenas","Carcinus_maenas","","29"
"pro_rob","Carcinus","maenas","Carcinus_maenas","","26"
"ren_ros","Carcinus","maenas","Carcinus_maenas","","56"
"rvcm","Carcinus","maenas","Carcinus_maenas","","32"
"sac_car","Carcinus","maenas","Carcinus_maenas","","221"
"syn_hyp","Carcinus","maenas","Carcinus_maenas","","42"
"tet_sp","Carcinus","maenas","Carcinus_maenas","","66"
"the_mae","Carcinus","maenas","Carcinus_maenas","","42"
"vis_gla","Carcinus","maenas","Carcinus_maenas","","456"
"pse_hum","Cervimunida","johni","Cervimunida_johni","wild","457"
"all_hen","Charybdis","bimaculata","Charybdis_bimaculata","wild","150"
"bet_vir","Charybdis","bimaculata","Charybdis_bimaculata","wild","458"
"het_pap","Charybdis","bimaculata","Charybdis_bimaculata","","10"
"sac_ang","Charybdis","bimaculata","Charybdis_bimaculata","","10"
"sac_lat","Charybdis","bimaculata","Charybdis_bimaculata","","10"
"sac_ser","Charybdis","feriata","Charybdis_feriata","","10"
"car_car","Charybdis","hellerii","Charybdis_hellerii","","13"
"sac_sp","Charybdis","hellerii","Charybdis_hellerii","","81"
"asc_sp","Charybdis","japonica","Charybdis_japonica","","74"
"dre_ten","Charybdis","japonica","Charybdis_japonica","","10"
"hal_oki","Charybdis","japonica","Charybdis_japonica","lab","77"
"het_pap","Charybdis","japonica","Charybdis_japonica","","10"
"sac_lat","Charybdis","japonica","Charybdis_japonica","","10"
"vib_alg","Charybdis","japonica","Charybdis_japonica","","75"
"vib_par","Charybdis","japonica","Charybdis_japonica","","78"
"aph_ast","Cherax","destructor","Cherax_destructor","lab","256"
"aus_elo","Cherax","destructor","Cherax_destructor","","247"
"cdbv","Cherax","destructor","Cherax_destructor","","76"
"cdspv","Cherax","destructor","Cherax_destructor","","241"
"mic_min","Cherax","destructor","Cherax_destructor","","442"
"pro_biz","Cherax","destructor","Cherax_destructor","wild","168"
"tem_min","Cherax","destructor","Cherax_destructor","wild","459"
"the_mon","Cherax","destructor","Cherax_destructor","wild","242"
"the_par","Cherax","destructor","Cherax_destructor","wild","243"
"vai_che","Cherax","destructor","Cherax_destructor","wild","244"
"wssv","Cherax","destructor","Cherax_destructor","lab","240"
"aer_hyd","Cherax","quadricarinatus","Cherax_quadricarinatus","aquaculture","462"
"aph_ast","Cherax","quadricarinatus","Cherax_quadricarinatus","lab","256"
"cgv","Cherax","quadricarinatus","Cherax_quadricarinatus","","442"
"che_ifl","Cherax","quadricarinatus","Cherax_quadricarinatus","","461"
"cox_che","Cherax","quadricarinatus","Cherax_quadricarinatus","","442"
"cqav","Cherax","quadricarinatus","Cherax_quadricarinatus","aquaculture","740"
"cqbv","Cherax","quadricarinatus","Cherax_quadricarinatus","wild","76"
"cqiv","Cherax","quadricarinatus","Cherax_quadricarinatus","","460"
"cqpv","Cherax","quadricarinatus","Cherax_quadricarinatus","","442"
"cqrv","Cherax","quadricarinatus","Cherax_quadricarinatus","","442"
"dic_bos","Cherax","quadricarinatus","Cherax_quadricarinatus","wild","464"
"mrnv","Cherax","quadricarinatus","Cherax_quadricarinatus","lab","465"
"pmergdnv","Cherax","quadricarinatus","Cherax_quadricarinatus","lab","442"
"smv","Cherax","quadricarinatus","Cherax_quadricarinatus","wild","442"
"vav_par","Cherax","quadricarinatus","Cherax_quadricarinatus","","442"
"wssv","Cherax","quadricarinatus","Cherax_quadricarinatus","","441"
"yhv","Cherax","quadricarinatus","Cherax_quadricarinatus","lab","463"
"hem_sp","Chionoecetes","bairdi","Chionoecetes_bairdi","wild","1, 2"
"tri_inv","Chionoecetes","bairdi","Chionoecetes_bairdi","wild","466"
"cobv","Chionoecetes","opilio","Chionoecetes_opilio","both","85"
"hal_oki","Chionoecetes","opilio","Chionoecetes_opilio","lab","77"
"hem_sp","Chionoecetes","opilio","Chionoecetes_opilio","wild","1, 2, 82"
"joh_arc","Chionoecetes","opilio","Chionoecetes_opilio","","87"
"tri_inv","Chionoecetes","opilio","Chionoecetes_opilio","","84"
"ccbv","Crangon","crangon","Crangon_crangon","wild","33"
"the_gia","Crangon","crangon","Crangon_crangon","wild","468"
"vav_med","Crangon","crangon","Crangon_crangon","wild","469"
"vib_par","Crangon","crangon","Crangon_crangon","wild","467"
"arg_pau","Crangon","franciscorum","Crangon_franciscorum","wild","471"
"aer_hyd","Eriocheir","sinensis","Eriocheir_sinensis","","99"
"aph_ast","Eriocheir","sinensis","Eriocheir_sinensis","wild","98"
"cit_fre","Eriocheir","sinensis","Eriocheir_sinensis","","101"
"es_rnv","Eriocheir","sinensis","Eriocheir_sinensis","","97"
"esrv","Eriocheir","sinensis","Eriocheir_sinensis","","94, 472"
"hep_eri","Eriocheir","sinensis","Eriocheir_sinensis","wild","95"
"herp","Eriocheir","sinensis","Eriocheir_sinensis","",""
"par_wes","Eriocheir","sinensis","Eriocheir_sinensis","","93"
"pic_vir","Eriocheir","sinensis","Eriocheir_sinensis","","102"
"pol_gre","Eriocheir","sinensis","Eriocheir_sinensis","aquaculture","104"
"ric_lik","Eriocheir","sinensis","Eriocheir_sinensis","","92"
"spi_eri","Eriocheir","sinensis","Eriocheir_sinensis","","96"
"vib_alg","Eriocheir","sinensis","Eriocheir_sinensis","aquaculture","103"
"vib_ang","Eriocheir","sinensis","Eriocheir_sinensis","aquaculture","103"
"vib_par","Eriocheir","sinensis","Eriocheir_sinensis","aquaculture","103"
"wssv","Eriocheir","sinensis","Eriocheir_sinensis","","106"
"car_car","Hepatus","pudibundus","Hepatus_pudibundus","","13"
"aer_vir","Homarus","americanus","Homarus_americanus","wild","2, 116"
"ano_hae","Homarus","americanus","Homarus_americanus","wild","2, 111"
"asc_sp","Homarus","americanus","Homarus_americanus","","118"
"asp_awa","Homarus","americanus","Homarus_americanus","","126"
"fus_sp","Homarus","americanus","Homarus_americanus","","113"
"hal_mil","Homarus","americanus","Homarus_americanus","aquaculture","1, 121"
"hyp_ind","Homarus","americanus","Homarus_americanus","","121"
"hys_sp","Homarus","americanus","Homarus_americanus","","120"
"lagen_cal","Homarus","americanus","Homarus_americanus","aquaculture","112"
"leu_muc","Homarus","americanus","Homarus_americanus","aquaculture","108"
"nec_agi","Homarus","americanus","Homarus_americanus","","127"
"neo_pem","Homarus","americanus","Homarus_americanus","wild","2, 121"
"nic_ast","Homarus","americanus","Homarus_americanus","wild","124"
"par_sp","Homarus","americanus","Homarus_americanus","","119"
"por_gig","Homarus","americanus","Homarus_americanus","","118, 120"
"pro_bot","Homarus","americanus","Homarus_americanus","","120"
"pse_hom","Homarus","americanus","Homarus_americanus","wild","2"
"sti_nep","Homarus","americanus","Homarus_americanus","","120"
"vib_ang","Homarus","americanus","Homarus_americanus","","114"
"vib_bml","Homarus","americanus","Homarus_americanus","","114"
"vib_flu","Homarus","americanus","Homarus_americanus","wild","117"
"vib_par","Homarus","americanus","Homarus_americanus","","123"
"wssv","Homarus","americanus","Homarus_americanus","lab","122"
"aer_vir","Homarus","gammarus","Homarus_gammarus","wild","476"
"nic_ast","Homarus","gammarus","Homarus_gammarus","wild","477"
"wssv","Homarus","gammarus","Homarus_gammarus","lab","478"
"hem_sp","Hyas","coarctatus","Hyas_coarctatus","wild","480"
"joh_arc","Hyas","coarctatus","Hyas_coarctatus","wild","87"
"are_roh","Lithodes","santolla","Lithodes_santolla","wild","481"
"pse_tub","Lithodes","santolla","Lithodes_santolla","wild","2, 482"
"pro_bit","Macrobrachium","amazonicum","Macrobrachium_amazonicum","wild","485"
"pse_pro","Macrobrachium","amazonicum","Macrobrachium_amazonicum","wild","484"
"vib_cho","Macrobrachium","amazonicum","Macrobrachium_amazonicum","aquaculture","483"
"vib_vul","Macrobrachium","amazonicum","Macrobrachium_amazonicum","aquaculture","483"
"aer_hyd","Macrobrachium","nipponense","Macrobrachium_nipponense","lab","491"
"mnrv","Macrobrachium","nipponense","Macrobrachium_nipponense","aquaculture","489"
"pot_mac","Macrobrachium","nipponense","Macrobrachium_nipponense","aquaculture","488"
"spi_eri","Macrobrachium","nipponense","Macrobrachium_nipponense","wild","486"
"spi_mir","Macrobrachium","nipponense","Macrobrachium_nipponense","","490"
"wssv","Macrobrachium","nipponense","Macrobrachium_nipponense","lab","487"
"cop_ste","Maja","squinado","Maja_squinado","","492"
"hem_sp","Menippe","mercenaria","Menippe_mercenaria","wild","475"
"lagen_cal","Menippe","mercenaria","Menippe_mercenaria","lab","130"
"nem_pry","Menippe","mercenaria","Menippe_mercenaria","wild","651"
"ame_met","Metacarcinus","magister","Metacarcinus_magister","wild","493"
"car_err","Metacarcinus","magister","Metacarcinus_magister","","15"
"hem_sp","Metacarcinus","magister","Metacarcinus_magister","wild","494"
"nad_can","Metacarcinus","magister","Metacarcinus_magister","wild","1"
"sac_car","Metacarcinus","magister","Metacarcinus_magister","lab","495"
"myo_met","Metanephrops","challengeri","Metanephrops_challengeri","wild","497"
"epi_geo","Metapenaeopsis","barbata","Metapenaeopsis_barbata","","125"
"par_con","Metapenaeopsis","barbata","Metapenaeopsis_barbata","","125"
"par_jap","Metapenaeopsis","barbata","Metapenaeopsis_barbata","","125"
"epi_sp","Metapenaeus","affinis","Metapenaeus_affinis","aquaculture","156"
"ihhn","Metapenaeus","affinis","Metapenaeus_affinis","","153"
"per_aff","Metapenaeus","affinis","Metapenaeus_affinis","","156"
"ste_cor","Metapenaeus","affinis","Metapenaeus_affinis","aquaculture","156"
"the_sem","Metapenaeus","affinis","Metapenaeus_affinis","","156"
"vib_par","Metapenaeus","affinis","Metapenaeus_affinis","","157"
"wssv","Metapenaeus","affinis","Metapenaeus_affinis","",""
"yhv","Metapenaeus","affinis","Metapenaeus_affinis","lab","152"
"cep_ind","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","500"
"epi_sp","Metapenaeus","dobsoni","Metapenaeus_dobsoni","aquaculture","156"
"hpv","Metapenaeus","dobsoni","Metapenaeus_dobsoni","","153"
"hys_sp","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","500"
"lsnv","Metapenaeus","dobsoni","Metapenaeus_dobsoni","","498"
"nem_ind","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","500"
"orb_bon","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","161"
"pal_ben","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","500"
"pmnv","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","159"
"sco_ple","Metapenaeus","dobsoni","Metapenaeus_dobsoni","wild","500"
"ste_cor","Metapenaeus","dobsoni","Metapenaeus_dobsoni","aquaculture","156"
"wssv","Metapenaeus","dobsoni","Metapenaeus_dobsoni","both","154, 499"
"hal_par","Metapenaeus","ensis","Metapenaeus_ensis","","503"
"ihhn","Metapenaeus","ensis","Metapenaeus_ensis","","153"
"tsv","Metapenaeus","ensis","Metapenaeus_ensis","","504"
"wssv","Metapenaeus","ensis","Metapenaeus_ensis","both","501, 502"
"ihhn","Metapenaeus","monoceros","Metapenaeus_monoceros","wild","506"
"orb_bon","Metapenaeus","monoceros","Metapenaeus_monoceros","wild","161"
"par_jap","Metapenaeus","monoceros","Metapenaeus_monoceros","","125"
"per_nel","Metapenaeus","monoceros","Metapenaeus_monoceros","wild","162"
"pmnv","Metapenaeus","monoceros","Metapenaeus_monoceros","wild","159"
"wssv","Metapenaeus","monoceros","Metapenaeus_monoceros","aquaculture","154, 158"
"pse_gal","Munida","gregaria","Munida_gregaria","wild","508"
"hem_sp","Necora","puber","Necora_puber","","167"
"por_mon","Necora","puber","Necora_puber","","125"
"pro_bot","Necora","puber","Necora_puber","","168"
"sac_car","Necora","puber","Necora_puber","","221"
"syn_hyp","Necora","puber","Necora_puber","","42"
"wssv","Necora","puber","Necora_puber","lab","17"
"ion_cor","Neotrypaea","californiensis","Neotrypaea_californiensis","","509"
"hem_sp","Nephrops","norvegicus","Nephrops_norvegicus","wild","1, 2"
"por_nep","Nephrops","norvegicus","Nephrops_norvegicus","wild","497"
"sti_nep","Nephrops","norvegicus","Nephrops_norvegicus","wild","497"
"vib_par","Nephrops","norvegicus","Nephrops_norvegicus","lab","510"
"wssv","Nephrops","norvegicus","Nephrops_norvegicus","lab","441"
"aph_ast","Orconectes","immunis","Orconectes_immunis","wild","248"
"pso_orc","Orconectes","immunis","Orconectes_immunis","wild","272"
"aph_ast","Orconectes","limosus","Orconectes_limosus","wild","250"
"bra_bal","Orconectes","limosus","Orconectes_limosus","wild","253"
"bra_hex","Orconectes","limosus","Orconectes_limosus","wild","253"
"bra_par","Orconectes","limosus","Orconectes_limosus","wild","253"
"bra_pen","Orconectes","limosus","Orconectes_limosus","wild","253"
"cot_cur","Orconectes","limosus","Orconectes_limosus","","252"
"cot_var","Orconectes","limosus","Orconectes_limosus","","252"
"did_cam","Orconectes","limosus","Orconectes_limosus","wild","298"
"pro_min","Orconectes","limosus","Orconectes_limosus","","442"
"pso_hae","Orconectes","limosus","Orconectes_limosus","","251"
"pso_orc","Orconectes","limosus","Orconectes_limosus","","249"
"sap_sp","Orconectes","limosus","Orconectes_limosus","","442"
"the_con","Orconectes","limosus","Orconectes_limosus","wild","231"
"wssv","Orconectes","limosus","Orconectes_limosus","","17"
"cre_cor","Orconectes","propinquus","Orconectes_propinquus","wild","255"
"pso_orc","Orconectes","propinquus","Orconectes_propinquus","","272"
"sap_aus","Orconectes","propinquus","Orconectes_propinquus","wild","513"
"aph_ast","Orconectes","rusticus","Orconectes_rusticus","wild","256"
"mic_sp","Orconectes","rusticus","Orconectes_rusticus","","254"
"pso_sp","Orconectes","rusticus","Orconectes_rusticus","wild","249"
"aph_ast","Orconectes","virilis","Orconectes_virilis","wild","256"
"bat_den","Orconectes","virilis","Orconectes_virilis","","257"
"het_bac","Orconectes","virilis","Orconectes_virilis","","259"
"het_mar","Orconectes","virilis","Orconectes_virilis","","259"
"mic_sp","Orconectes","virilis","Orconectes_virilis","","254"
"pso_sp","Orconectes","virilis","Orconectes_virilis","wild","249"
"qua_med","Orconectes","virilis","Orconectes_virilis","","442"
"spi_pen","Orconectes","virilis","Orconectes_virilis","wild","259"
"the_con","Orconectes","virilis","Orconectes_virilis","lab","258"
"wssv","Orconectes","virilis","Orconectes_virilis","lab","259"
"cep_con","Pachygrapsus","marmoratus","Pachygrapsus_marmoratus","wild","514"
"gra_cav","Pachygrapsus","marmoratus","Pachygrapsus_marmoratus","wild","514"
"mic_pac","Pachygrapsus","marmoratus","Pachygrapsus_marmoratus","wild","514"
"sac_car","Pachygrapsus","marmoratus","Pachygrapsus_marmoratus","","221"
"aer_hyd","Pacifastacus","leniusculus","Pacifastacus_leniusculus","wild","261, 273"
"aph_ast","Pacifastacus","leniusculus","Pacifastacus_leniusculus","wild","262"
"fus_sol","Pacifastacus","leniusculus","Pacifastacus_leniusculus","lab","264"
