sp_code,host_genus_species,search_terms,sp_quote,database,years,num_results,path_search_results,notes
EKC,Acetes_americanus,"""Acetes americanus"" OR ""Acetes brasiliensis""          ","""Acetes americanus""","all, title",1864-2017,5,0,NA
ESH,Acetes_chinensis,"""Acetes chinensis""           ","""Acetes chinensis""","all, title",1864-2017,26,1,NA
EKN,Acetes_indicus,"""Acetes indicus"" OR ""Acetes spiniger""          ","""Acetes indicus""","all, title",1864-2017,14,0,NA
EKI,Acetes_intermedius,"""Acetes intermedius""           ","""Acetes intermedius""","all, title",1864-2017,14,0,NA
AKS,Acetes_japonicus,"""Acetes japonicus"" OR ""Acetes cochinensis"" OR "" Acetes dispar""         ","""Acetes japonicus""","all, title",1864-2017,18,0,NA
RTQ,Achelous_spinimanus,"""Achelous spinimanus"" OR ""Achelous spinimanus smithii"" OR "" Lupa banksii"" OR "" Portunus spinimanus"" OR "" Portunus vossi""       ","""Achelous spinimanus""","all, title",1864-2017,22,0,NA
RSQ,Arenaeus_cribrarius,"""Arenaeus cribrarius"" OR ""Portunus cribrarius"" OR "" Lupa maculata""         ","""Arenaeus cribrarius""","all, title",1864-2017,27,2,NA
ARS,Aristaeomorpha_foliacea,"""Aristaeomorpha foliacea"" OR ""Aristaeomorpha giglioliana"" OR "" Aristaeomorpha mediterranea"" OR "" Aristaeomorpha rostridentata"" OR "" Aristeomorpha foliacea"" OR "" Aristeus japonicus"" OR "" Aristeus rostridentatus"" OR "" Penaeus foliacea"" OR "" Penaeus meridionalis""   ","""Aristaeomorpha foliacea""","all, title",1864-2017,87,0,NA
SSH,Aristaeopsis_edwardsiana,"""Aristaeopsis edwardsiana"" OR ""Aristaeopsis edwardsianus"" OR "" Aristeus coralinus"" OR "" Aristeus splendens"" OR "" Penaeus edwardsianus"" OR "" Plesiopenaeus edwardsianus""      ","""Aristaeopsis edwardsiana""","all, title",1864-2017,12,0,NA
ARA,Aristeus_antennatus,"""Aristeus antennatus"" OR ""Penaeus antemarius"" OR "" Penaeus antennatus"" OR "" Sicyonia duvernoii""        ","""Aristeus antennatus""","all, title",1864-2017,165,0,NA
ASH,Artemesia_longinaris,"""Artemesia longinaris""           ","""Artemesia longinaris""","all, title",1864-2017,66,6,NA
AIG,Astacopsis_gouldi,"""Astacopsis gouldi""           ","""Astacopsis gouldi""","all, title",1864-2017,11,0,NA
AAS,Astacus_astacus,"""Astacus astacus"" OR ""Astacus fluviatilis "" OR "" Cancer astacus "" OR "" Potamobius fluviatilis balcanicus""        ","""Astacus astacus""","all, title",1864-2017,825,68,NA
AUP,Austropotamobius_pallipes,"""Austropotamobius pallipes"" OR ""Astacus fontinalis"" OR "" Astacus pallipes""         ","""Austropotamobius pallipes""","all, title",1864-2017,466,39,NA
UTT,Austropotamobius_torrentium,"""Austropotamobius torrentium"" OR ""Astacus torrentium "" OR "" Austropotamobius torrentium macedonicus "" OR "" Cancer torrentium""        ","""Austropotamobius torrentium""","all, title",1864-2017,119,16,NA
BQL,Birgus_latro,"""Birgus latro"" OR ""Birgus laticauda"" OR "" Cancer latro""         ","""Birgus latro""","all, title",1864-2017,129,1,NA
ISK,Callichirus_kraussi,"""Callichirus kraussi"" OR ""Callianassa kraussi""          ","""Callichirus kraussi""","all, title",1864-2017,30,0,NA
KLU,Callinectes_arcuatus,"""Callinectes arcuatus"" OR ""Callinectes dubia"" OR "" Callinectes nitidus "" OR "" Callinectes pleuriticus""        ","""Callinectes arcuatus""","all, title",1864-2017,30,2,NA
KLI,Callinectes_bellicosus,"""Callinectes bellicosus"" OR ""Callinectes ochoterenai""          ","""Callinectes bellicosus""","all, title",1864-2017,20,0,NA
CRZ,Callinectes_danae,"""Callinectes danae"" OR ""Callinectes maracaiboensis""          ","""Callinectes danae""","all, title",1864-2017,113,3,NA
KLO,Callinectes_ornatus,"""Callinectes ornatus"" OR ""Callinectes humphreyi""          ","""Callinectes ornatus""","all, title",1864-2017,55,3,NA
CRB,Callinectes_sapidus,"""Callinectes sapidus"" OR ""Callinectes sapidus acutidens"" OR "" Portunus diacantha""         ","""Callinectes sapidus""","all, title",1864-2017,1705,259,NA
CRC,Callinectes_toxotes,"""Callinectes toxotes"" OR ""Callinectes diacanthus robustus""          ","""Callinectes toxotes""","all, title",1864-2017,3,0,NA
MBO,Cambarus_bartonii,"""Cambarus bartonii"" OR ""Cambarus bartonii bartonii "" OR "" Cambarus bartonii cavatus""         ","""Cambarus bartonii""","all, title",1864-2017,26,0,NA
CRK,Cancer_irroratus,"""Cancer irroratus"" OR ""Cancer sayi""          ","""Cancer irroratus""","all, title",1864-2017,195,5,NA
CRE,Cancer_pagurus,"""Cancer pagurus"" OR ""Cancer fimbriatus"" OR "" Cancer incisocrenatus "" OR "" Cancer luederwaldti""        ","""Cancer pagurus""","all, title",1864-2017,379,47,NA
ROC,Cancer_productus,"""Cancer productus"" OR ""Cancer brewerii "" OR "" Cancer perlatus""         ","""Cancer productus""","all, title",1864-2017,59,2,NA
CMR,Carcinus_aestuarii,"""Carcinus aestuarii"" OR ""Carcinus mediterraneus "" OR "" Portunus menoides""         ","""Carcinus aestuarii""","all, title",1864-2017,159,4,NA
CRG,Carcinus_maenas,"""Carcinus maenas"" OR ""Cancer granarius"" OR "" Cancer granulatus "" OR "" Cancer maenas "" OR "" Cancer pygmeus"" OR "" Cancer rhomboidalis "" OR "" Cancer viridis"" OR "" Megalopa montagui "" OR "" Portunus carcinoides""   ","""Carcinus maenas""","all, title",1864-2017,1970,205,NA
CZJ,Cervimunida_johni,"""Cervimunida johni""           ","""Cervimunida johni""","all, title",1864-2017,17,6,NA
CGE,Chaceon_maritae,"""Chaceon maritae"" OR ""Geryon chuni"" OR "" Geryon maritae""         ","""Chaceon maritae""","all, title",1864-2017,15,0,NA
YFB,Charybdis_bimaculata,"""Charybdis bimaculata"" OR ""Charybdis subornata"" OR "" Gonioneptunus whiteleggei"" OR "" Goniosoma bimaculata""        ","""Charybdis bimaculata""","all, title",1864-2017,5,2,NA
KHF,Charybdis_feriata,"""Charybdis feriata"" OR ""Charybdis feriatus "" OR "" Cancer cruciata"" OR "" Cancer crucifer"" OR "" Cancer feriata"" OR "" Cancer sexdentatus"" OR "" Charybdis cruciata"" OR "" Portunus crucifer""    ","""Charybdis feriata""","all, title",1864-2017,49,0,NA
YVB,Charybdis_hellerii,"""Charybdis hellerii"" OR ""Charybdis merguiensis"" OR "" Goniosoma hellerii""         ","""Charybdis hellerii""","all, title",1864-2017,25,2,NA
YBJ,Charybdis_japonica,"""Charybdis japonica"" OR ""Charybdis peitchihiliensis"" OR "" Charybdis sowerbyi"" OR "" Goniosoma japonica""        ","""Charybdis japonica""","all, title",1864-2017,108,3,NA
CDT,Cherax_destructor,"""Cherax destructor""           ","""Cherax destructor""","all, title",1864-2017,226,24,NA
CRP,Cherax_quadricarinatus,"""Cherax quadricarinatus""           ","""Cherax quadricarinatus""","all, title",1864-2017,446,103,NA
CVB,Chionoecetes_bairdi,"""Chionoecetes bairdi""           ","""Chionoecetes bairdi""","all, title",1864-2017,150,47,NA
CRQ,Chionoecetes_opilio,"""Chionoecetes opilio"" OR ""Cancer opilio"" OR "" Cancer phalangivm"" OR "" Chionoecetes behringianus"" OR "" Chionoecetes chilensis"" OR "" Peloplastus pallasi""      ","""Chionoecetes opilio""","all, title",1864-2017,486,37,NA
CSH,Crangon_crangon,"""Crangon crangon"" OR ""Cancer crangon"" OR "" Cancer schillinus"" OR "" Crangon maculosus"" OR "" Crangon rubro "" OR "" Crangon vulgaris"" OR "" Steiracrangon orientalis""     ","""Crangon crangon""","all, title",1864-2017,472,24,NA
GQF,Crangon_franciscorum,"""Crangon franciscorum""           ","""Crangon franciscorum""","all, title",1864-2017,24,1,NA
ERS,Eriocheir_sinensis,"""Eriocheir sinensis"" OR ""Eriocheir sinensis acutifrons"" OR "" Eriocheir sinensis rostrata"" OR "" Eriocheir sinensis rotundifrons "" OR "" Eriocheir sinensis trilobata "" OR "" Grapsus nankin""      ","""Eriocheir sinensis""","all, title",1864-2017,1267,157,NA
AYA,Euastacus_armatus,"""Euastacus armatus""           ","""Euastacus armatus""","all, title",1864-2017,20,0,NA
EXO,Exopalaemon_modestus,"""Exopalaemon modestus""           ","""Exopalaemon modestus""","all, title",1864-2017,29,0,NA
IFJ,Grapsus_adscensionis,"""Grapsus adscensionis"" OR ""Cancer adscensionis"" OR "" Grapsus adscencionis"" OR "" Grapsus pictus ocellatus "" OR "" Grapsus webbi""       ","""Grapsus adscensionis""","all, title",1864-2017,7,0,NA
JAQ,Haliporoides_sibogae,"""Haliporoides sibogae"" OR ""Haliporus sibogae"" OR "" Parahaliporus sibogae""         ","""Haliporoides sibogae""","all, title",1864-2017,12,0,NA
HUY,Hepatus_pudibundus,"""Hepatus pudibundus"" OR ""Calappa angustata"" OR "" Cancer princeps"" OR "" Cancer pudibundus"" OR "" Hepatus calappoides"" OR "" Hepatus fasciatus"" OR "" Hepatus tuberculatus""     ","""Hepatus pudibundus""","all, title",1864-2017,29,2,NA
CHS,Heterocarpus_reedi,"""Heterocarpus reedi""           ","""Heterocarpus reedi""","all, title",1864-2017,31,0,NA
LBA,Homarus_americanus,"""Homarus americanus"" OR ""Astacus americanus"" OR "" Homarus mainensis""         ","""Homarus americanus""","all, title",1864-2017,2095,132,NA
LBE,Homarus_gammarus,"""Homarus gammarus"" OR ""Astacus europaeus"" OR "" Astacus gammarus"" OR "" Cancer gammarus"" OR "" Homarus marinus"" OR "" Homarus vulgaris""      ","""Homarus gammarus""","all, title",1864-2017,536,21,NA
MVH,Hyas_coarctatus,"""Hyas coarctatus"" OR ""Hyas coarctatus coarctatus"" OR "" Hyas serratus"" OR "" Lissa fissirostra""        ","""Hyas coarctatus""","all, title",1864-2017,20,1,NA
IBE,Ibacus_peronii,"""Ibacus peronii"" OR ""Ibacus incisus""          ","""Ibacus peronii""","all, title",1864-2017,10,0,NA
LBC,Jasus_lalandii,"""Jasus lalandii"" OR ""Palinurus lalandii "" OR "" Palinostus lalandii"" OR "" Palinosytus lalandii""        ","""Jasus lalandii""","all, title",1864-2017,177,1,NA
LKG,Leptochela_gracilis,"""Leptochela gracilis"" OR ""Leptochela pellucida""          ","""Leptochela gracilis""","all, title",1864-2017,3,0,NA
KCR,Lithodes_santolla,"""Lithodes santolla"" OR ""Lithodes antarctica"" OR "" Pseudolithodes zenkevitchi""         ","""Lithodes santolla""","all, title",1864-2017,61,8,NA
MBA,Macrobrachium_amazonicum,"""Macrobrachium amazonicum""           ","""Macrobrachium amazonicum""","all, title",1864-2017,173,6,NA
BKI,Macrobrachium_intermedium,"""Macrobrachium intermedium"" OR ""Leander intermedius""          ","""Macrobrachium intermedium""","all, title",1864-2017,3,0,NA
BKB,Macrobrachium_macrobrachion,"""Macrobrachium macrobrachion"" OR ""Palaemon africanus"" OR "" Palemon macrobrachion""         ","""Macrobrachium macrobrachion""","all, title",1864-2017,26,0,NA
MNX,Macrobrachium_nipponense,"""Macrobrachium nipponense""           ","""Macrobrachium nipponense""","all, title",1864-2017,377,22,NA
BJD,Macrobrachium_raridens,"""Macrobrachium raridens"" OR ""Palaemon raridens""          ","""Macrobrachium raridens""","all, title",1864-2017,0,0,NA
BJH,Macrobrachium_vollenhovenii,"""Macrobrachium vollenhovenii""           ","""Macrobrachium vollenhovenii""","all, title",1864-2017,60,2,NA
SCR,Maja_squinado,"""Maja squinado"" OR ""Cancer cornutus"" OR "" Cancer squinado"" OR "" Maja tuberculata""        ","""Maja squinado""","all, title",1864-2017,82,1,NA
STC,Menippe_mercenaria,"""Menippe mercenaria"" OR ""Cancer mercenaria"" OR "" Pseudocarcinus ocellatus""         ","""Menippe mercenaria""","all, title",1864-2017,108,4,NA
DUN,Metacarcinus_magister,"""Metacarcinus magister"" OR ""Cancer_magister""          ","""Metacarcinus magister""","all, title",1864-2017,476,27,NA
MFL,Metanephrops_australiensis,"""Metanephrops australiensis"" OR ""Nephrops australiensis""          ","""Metanephrops australiensis""","all, title",1864-2017,3,0,NA
MFO,Metanephrops_boschmai,"""Metanephrops boschmai"" OR ""Nephrops boschmai""          ","""Metanephrops boschmai""","all, title",1864-2017,1,0,NA
MEC,Metanephrops_challengeri,"""Metanephrops challengeri"" OR ""Nephrops challengeri""          ","""Metanephrops challengeri""","all, title",1864-2017,5,2,NA
MFV,Metanephrops_velutinus,"""Metanephrops velutinus"" OR ""Metanephrops andamanicus""          ","""Metanephrops velutinus""","all, title",1864-2017,4,0,NA
MJB,Metapenaeopsis_barbata,"""Metapenaeopsis barbata"" OR ""Parapenaeus akayebi"" OR "" Penaeus barbatus""         ","""Metapenaeopsis barbata""","all, title",1864-2017,15,0,NA
MTJ,Metapenaeus_affinis,"""Metapenaeus affinis"" OR ""Hymenopenaeus affinis "" OR "" Metapenaeus ivanovi"" OR "" Metapenaeus mutatus"" OR "" Metapenaeus necopinans"" OR "" Penaeus affinis"" OR "" Penaeus mutatis""     ","""Metapenaeus affinis""","all, title",1864-2017,66,3,NA
MPD,Metapenaeus_dobsoni,"""Metapenaeus dobsoni"" OR ""Penaeus dobsoni""          ","""Metapenaeus dobsoni""","all, title",1864-2017,79,4,NA
MPE,Metapenaeus_ensis,"""Metapenaeus ensis"" OR ""Metapenaeus mastersii"" OR "" Metapenaeus philippinensis"" OR "" Penaeus incisipes"" OR "" Penaeus mastersii"" OR "" Penoeus ensis""      ","""Metapenaeus ensis""","all, title",1864-2017,138,14,NA
SHI,Metapenaeus_joyneri,"""Metapenaeus joyneri""           ","""Metapenaeus joyneri""","all, title",1864-2017,15,1,NA
MPN,Metapenaeus_monoceros,"""Metapenaeus monoceros"" OR ""Metapenaeus cognatus"" OR "" Metapenaeus deschampsi"" OR "" Penaeopsis spinulicauda"" OR "" Penaeus monoceros""       ","""Metapenaeus monoceros""","all, title",1864-2017,202,7,NA
MNG,Metapenaeus_stebbingi,"""Metapenaeus stebbingi""           ","""Metapenaeus stebbingi""","all, title",1864-2017,15,0,NA
UDQ,Munida_gregaria,"""Munida gregaria"" OR ""Galathea gregaria"" OR "" Galathea subrugosa "" OR "" Grimothea gregaria"" OR "" Grimothea novae zealandiae "" OR "" Munida australiensis"" OR "" Munida subrugosa"" OR "" Munida subrugosa australiensis""    ","""Munida gregaria""","all, title",1864-2017,51,1,NA
LIO,Necora_puber,"""Necora puber"" OR ""Macropipus puber "" OR "" Liocarcinus puber "" OR "" Cancer puber"" OR "" Cancer velutinus"" OR "" Polybius puber""      ","""Necora puber""","all, title",1864-2017,90,8,NA
NLH,Nematopalaemon_hastatus,"""Nematopalaemon hastatus"" OR ""Palaemon hastatus""          ","""Nematopalaemon hastatus""","all, title",1864-2017,7,1,NA
ISF,Neotrypaea_californiensis,"""Neotrypaea californiensis"" OR ""Callianassa californiensis "" OR "" Callianassa occidentalis""         ","""Neotrypaea californiensis""","all, title",1864-2017,50,4,NA
NEP,Nephrops_norvegicus,"""Nephrops norvegicus"" OR ""Cancer norvegicus""          ","""Nephrops norvegicus""","all, title",1864-2017,627,111,NA
